Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount
197,قيس,وقيصر,كتب,كسري,اخيه,قتاده,انس,وال,نصر,خالد,29,26,24
198,فاستخرج,العينين,حريره,سودا,بابا,اللحيه,بيضا,صوره,ضخم,تعرفون,29,29,23
199,مجالسهم,انصابا,انصبوا,يجلسون,وسموها,ففعلوا,باسماهم,تعبد,هلكوا,عبدت,29,29,27
200,الفان,نبيان,وافتخر,واربعون,بعضها,ربه,او,شايعه,اذكر,بين,29,29,21
201,الاسلام,الشرك,وحده,مسلمين,عباده,والمرسلين,التوحيد,شريك,دين,الرسل,29,27,17
202,قص,عاما,خمسين,وانجا,فلبث,الايمان,وقومه,الكرب,ابتلا,فيهم,28,28,25
203,جت,صعصعه,والنبي,الساب,معن,فجلست,معهم,نافله,الصلاه,فوجدت,28,27,26
204,الكبار,اعنتها,مقلده,يريدون,اشد,سراجا,طوره,صوم,تظل,وجميل,28,27,27
205,تبعني,عصاني,غفور,مثلك,فانك,رحيم,ومثلك,تذر,ديارا,مني,28,28,27
206,الاخرين,الصافات,وتركنا,العالمين,شيعته,نجزي,سلام,المحسنين,تركنا,لابراهيم,28,25,24
207,افريدون,الضحاك,الفرس,ملك,بنار,مبعث,بهبوط,الملوك,بيورسب,ترخ,28,27,24
208,الثقات,حبان,وذكره,وعنه,معيقيب,مجهول,المزي,اياس,ومصعب,حديثه,28,26,14
209,الكوفه,واتخذ,وفيه,وقدس,تقديسا,ووسطه,الخامسه,زاويته,رياض,مسجد,28,26,20
210,التهذيب,الجرح,التقريب,الكمال,والمثبت,تهذيب,الالتقا,الاكمال,الالباب,كني,27,22,12
211,يعفو,مال,رجل,نقضا,للامام,مساله,صنعوا,يقتل,الامام,الديه,27,23,6
212,ابنا,نا,اخبرهم,ريذه,ثنا,قيس,انا,اخبرتهم,زاهر,انبانا,27,25,13
213,ملاكه,لانزل,جنه,سمعنا,جنون,فتربصوا,يتفضل,ابانا,متبوعا,مثلكم,27,26,23
214,الحميدي,التيمي,حييتم,فحيوا,بد,بتحيه,باحسن,سفيان,ردوها,اخبرنا,27,27,19
215,الريان,فرعون,عملاق,لاوذ,الوليد,قاران,مصعب,علوان,عمليق,قابوس,27,25,19
