Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
19,270,حدثنا,الموطن,الصلاة,مواطن,2,89,1.0,88.0,,,,
315,21,حدثنا,حديث,سعد,النبي,2,21,2.0,19.0,,,,
9,613,حدثنا,حديث,عن,ورواه,3,370,12.0,358.0,,2.0,,
536,10,حدثنا,واحب,الزهري,الاوزاعي,1,9,,9.0,,,,
21,246,حديث,امتي,الساعة,تقوم,3,111,3.0,107.0,,1.0,,
258,25,حديث,فلفظته,هيه,وخرجه,1,22,,22.0,,,,
386,15,حديثا,الشافعي,قولي,تظلني,1,3,3.0,,,,,
470,12,حربة,النجاشي,توافقا,صرعي,1,12,,12.0,,,,
516,10,حرمي,موسي,حرملة,الدقيقي,2,4,2.0,2.0,,,,
354,17,حريرة,صورة,اتعرفون,بابا,1,4,,4.0,,,,
372,16,حصل,فاستحييت,فاقول,النذر,2,9,8.0,,,1.0,,
51,124,حلب,التركمان,ناءب,عشرينه,3,95,4.0,,4.0,,87.0,
423,14,حميضة,رميثة,عنوة,مكة,4,11,4.0,,2.0,2.0,3.0,
211,30,حنبل,صالح,سمعت,افت,2,18,17.0,1.0,,,,
129,55,خاتما,فضة,الخاتم,فصه,1,15,,15.0,,,,
183,37,خالد,حميد,المعافري,الصدفي,2,12,8.0,4.0,,,,
140,51,خالد,وعنه,وعبد,المعافري,2,30,27.0,3.0,,,,
268,24,خان,ارسلان,جنكزخان,دوشي,3,18,,,1.0,1.0,16.0,
397,15,خجلنا,الوزير,لاتصدق,المالل,3,11,5.0,,,2.0,4.0,
316,20,خطة,راشدة,لخم,الخطة,1,9,,,,9.0,,
485,12,خطه,ابوه,المحضر,محضر,2,5,3.0,,2.0,,,
435,13,خيول,مهنا,احضرها,العرب,2,8,,,,4.0,4.0,
254,25,داء,حديث,بدواء,يكتحل,1,17,,17.0,,,,
395,15,داره,مجلسا,الفقه,مصنفاته,1,4,,,,4.0,,
347,18,دراهم,كل,درهم,استجدت,3,11,2.0,,,6.0,3.0,
166,42,درجة,الاقليم,الاطول,ساعة,1,16,,,,16.0,,
218,29,درهم,دينار,الف,انفق,2,24,,,,4.0,20.0,
127,57,درهما,بدرهم,الاردب,دراهم,4,43,,,5.0,1.0,36.0,1.0
165,42,درهما,دراهم,بدرهم,فلوسا,4,22,,,1.0,1.0,15.0,5.0
528,10,درهما,والرطل,بدرهم,القمح,1,10,,,,,10.0,
522,10,دعت,بجواز,فامتنع,الرعية,2,9,4.0,,,,5.0,
499,11,دكاكين,الحريق,الحواصل,والربع,2,7,,,,3.0,4.0,
531,10,دنا,فتدلي,وتدلي,قاب,1,5,,5.0,,,,
90,76,دير,الدير,الرهبان,كنيسة,1,18,,,,18.0,,
351,17,دينارا,رسوم,دينار,ماءتان,1,3,,,,3.0,,
367,16,دينارا,ولكل,كاغدة,دنانير,3,5,1.0,,2.0,2.0,,
69,96,دينارين,الذمة,الجزية,الخطاب,5,34,1.0,1.0,1.0,30.0,,1.0
153,45,ذراع,الهرم,اذرع,ذراعا,1,20,,,,20.0,,
